1567214_ble	ble	ble	NF000028.1	250.00	250.00	1	BLMA family bleomycin binding protein
ALL		-	-	0.00	0.00	0	
AME	AMR	-	-	0.00	0.00	0	aminoglycoside modifying enzymes
AMR	ALL	-	-	0.00	0.00	0	
BcII	bla-B1	bla2	NF033095.1	500.00	500.00	1	BcII family subclass B1 metallo-beta-lactamase
CMY2-MIR-ACT-EC	bla-C	ampC	NF012173.1	680.00	680.00	1	CMY2/MIR/ACT/EC family class c beta-lactamase
EFFLUX	AMR	-	-	0.00	0.00	0	efflux
HARLDQ_not_B3	bla-B3	-	NF000405.1	350.00	350.00	0	HARLDQ motif MBL-fold protein
MFS_efflux_CHL	MFS_efflux	cml	-	0.00	0.00	1	chloramphenicol efflux MFS transporter
MFS_efflux_qac	MFS_efflux	qac	NF000089.1	900.00	900.00	1	QacA/B family quaternary ammonium compound efflux MFS transporter
MFS_efflux	EFFLUX	-	-	0.00	0.00	0	multidrug efflux MFS transporter
RESPONSE_REG	AMR	response_reg	-	0.00	0.00	0	DNA-binding response regulator
RND-IM	EFFLUX	-	NF000282.2	1250.00	1250.00	0	multidrug efflux RND transporter permease subunit
RND-peri	EFFLUX	-	-	0.00	0.00	0	multidrug efflux RND transporter periplasmic adaptor subunit
SMR_efflux_bcrB	SMR_efflux	bcrB	NF033469.1	205.00	205.00	1	quaternary ammonium compound efflux SMR transporter BcrB
SMR_efflux_bcrC	SMR_efflux	bcrC	NF033470.1	225.00	225.00	1	quaternary ammonium compound efflux SMR transporter BcrC
SMR_efflux_smr	SMR_efflux	smr	NF000280.1	200.00	200.00	1	multidrug efflux SMR transporter Smr
SMR_efflux	EFFLUX	qac	-	0.00	0.00	1	SMR family small multidrug resistance efflux protein
SMR_qac_int	SMR_efflux	qac	NF033137.0	188.00	188.00	1	Qac family quaternary ammonium compound efflux SMR transporter
SMR_qac_pB8	SMR_efflux	qac	NF000148.1	200.00	200.00	1	Qac-pB8 family quaternary ammonium compound efflux SMR transporter
aac(2')-IIa	aac(2')	aac(2')-IIa	NF000100.2	510.00	510.00	1	kasugamycin N-acetyltransferase AAC(2')-IIa
aac(2')-IIb	aac(2')	aac(2')-IIb	NF033472.1	390.00	390.00	1	kasugamycin N-acetyltransferase AAC(2')-IIb
aac(2')-Ia	aac(2')	aac(2')-Ia	NF000108.1	350.00	350.00	1	aminoglycoside N-acetyltransferase AAC(2')-Ia
aac(2')-Ib	aac(2')	aac(2')-Ib	NF000010.1	400.00	400.00	1	aminoglycoside N-acetyltransferase AAC(2')-Ib
aac(2')-Ic	aac(2')	aac(2')-Ic	NF000034.1	375.00	375.00	1	aminoglycoside N-acetyltransferase AAC(2')-Ic
aac(2')-Id	aac(2')	aac(2')-Id	NF000042.1	400.00	400.00	1	aminoglycoside N-acetyltransferase AAC(2')-Id
aac(2')-Ie	aac(2')	aac(2')-Ie	NF000054.1	400.00	400.00	1	aminoglycoside N-acetyltransferase AAC(2')-Ie
aac(2')	aac	aac(2')	-	0.00	0.00	1	aminoglycoside 2'-N-acetyltransferase
aac(3)-IIIa	aac(3)	aac(3)-IIIa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IIIa
aac(3)-IIIb	aac(3)	aac(3)-IIIb	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IIIb
aac(3)-IIIc	aac(3)	aac(3)-IIIc	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IIIc
aac(3)-IIa	aac(3)-II	aac(3)-IIa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IIa
aac(3)-IIe	aac(3)-II	aac(3)-IIe	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IIe
aac(3)-II	aac(3)	aac(3)-II	NF033080.0	480.00	480.00	1	AAC(3)-II family aminoglycoside N-acetyltransferase
aac(3)-IVa	aac(3)_IV_fam	aac(3)-IVa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IVa
aac(3)-IV	aac(3)_IV_fam	aac(3)-IV	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IV
aac(3)-IXa	aac(3)	aac(3)-IXa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-IXa
aac(3)-I	aac(3)_gen	aac(3)-I	NF033083.0	200.00	200.00	1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
aac(3)-VIII	aac(3)	aac(3)-VIII	NF033180.1	560.00	560.00	1	aminoglycoside N-acetyltransferase AAC(3)-VIII
aac(3)-VIIa	aac(3)	aac(3)-VIIa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-VIIa
aac(3)-VIa	aac(3)	aac(3)-VIa	NF033612.0	675.00	675.00	1	aminoglycoside N-acetyltransferase AAC(3)-VIa
aac(3)-XI	aac(3)_gen	aac(3)-XI	NF000482.1	300.00	300.00	1	aminoglycoside N-acetyltransferase AAC(3)-XI
aac(3)-Xa	aac(3)	aac(3)-Xa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(3)-Xa
aac(3)_IV_fam	aac(3)_gen	aac(3)	NF033081.0	420.00	420.00	1	AAC(3)-IV family aminoglycoside N-acetyltransferase
aac(3)_gen	aac	aac(3)	-	0.00	0.00	1	aminoglycoside 3-N-acetyltransferase
aac(3)	aac(3)_gen	aac(3)	NF033082.0	270.00	270.00	1	aminoglycoside 3-N-acetyltransferase
aac(6')-29	aac(6')	aac(6')-29	NF000050.2	250.00	250.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-29
aac(6')-30	aac(6')	aac(6')-30	NF033077.0	255.00	255.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-30
aac(6')-31	aac(6')-set_A	aac(6')-31	NF000118.3	385.00	385.00	1	aminoglycoside N-acetyltransferase AAC(6')-31
aac(6')-35	aac(6')	aac(6')-35	-	0.00	0.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-35
aac(6')-IIa	aac(6')-II	aac(6')-IIa	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(6')-IIa
aac(6')-IIc	aac(6')-II	aac(6')-IIc	NF000135.2	415.00	415.00	1	aminoglycoside N-acetyltransferase AAC(6')-IIc
aac(6')-IId	aac(6')-Ib	aac(6')-IId	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(6')-IId
aac(6')-II	aac(6')-set_A	aac(6')-II	-	0.00	0.00	1	AAC(6')-II family aminoglycoside 6'-N-acetyltransferase
aac(6')-Iad	aac(6')-I	aac(6')-Iad	NF000115.2	275.00	275.00	1	aminoglycoside N-acetyltransferase AAC(6')-Iad
aac(6')-Iag	aac(6')	aacA48	NF033130.1	300.00	300.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iag
aac(6')-Iak	aac(6')_Steno	aac(6')-Iak	NF000497.1	325.00	325.00	1	aminoglycoside N-acetyltransferase AAC(6')-Iak
aac(6')-Ian	aac(6')-I	aac(6')-Ian	NF000431.1	400.00	400.00	1	aminoglycoside N-acetyltransferase AAC(6')-Ian
aac(6')-Ia	aac(6')_Ia_fam	aac(6')-Ia	-	0.00	0.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia
aac(6')-Ib''	aac(6')-Ib	aac(6')-Ib''	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(6')-Ib''
aac(6')-Ib'	aac(6')-Ib	aac(6')-Ib'	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(6')-Ib'
aac(6')-Ib-cr	aac(6')-Ib	aac(6')-Ib-cr	-	0.00	0.00	1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr
aac(6')-Ib11	aac(6')-Ib	aac(6')-Ib11	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(6')-Ib11
aac(6')-Ib	aac(6')-set_A	aac(6')-Ib	NF033074.0	400.00	400.00	1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aac(6')-Id	aac(6')-I	aac(6')-Id	NF033374.6	320.00	320.00	1	aminoglycoside N-acetyltransferase AAC(6')-Id
aac(6')-Ie2	aac(6')-Ie_fam	aac(6')-Ie	-	0.00	0.00	1	aminoglycoside N-acetyltransferase AAC(6')-Ie
aac(6')-Ie_fam	aac(6')-I	aac(6')-Ie	NF033693.0	340.00	340.00	1	AAC(6')-Ie family aminoglycoside N-acetyltransferase
aac(6')-Ie	aac(6')-Ie_fam	aac(6')-Ie	NF000507.1	450.00	420.00	1	aminoglycoside N-acetyltransferase AAC(6')-Ie
aac(6')-If	aac(6')-I	aac(6')-If	NF000110.2	300.00	300.00	1	aminoglycoside N-acetyltransferase AAC(6')-If
aac(6')-Il	aac(6')-I	aac(6')-Il	NF000158.2	270.00	270.00	1	aminoglycoside N-acetyltransferase AAC(6')-Il
aac(6')-Im	aac(6')-I	aac(6')-Im	NF000016.1	350.00	350.00	1	aminoglycoside N-acetyltransferase AAC(6')-Im
aac(6')-Ip	aac(6')_Ia_fam	aac(6')-Ip	NF000486.1	390.00	390.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip
aac(6')-Iq	aac(6')_Ia_fam	aac(6')-Iq	-	0.00	0.00	1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iq
aac(6')-Iz	aac(6')_Steno	aac(6')-Iz	NF000138.1	320.00	320.00	1	aminoglycoside N-acetyltransferase AAC(6')-Iz
aac(6')-I	aac(6')	aac(6')-I	-	0.00	0.00	1	AAC(6')-I family aminoglycoside 6'-N-acetyltransferase
aac(6')-set_A	aac(6')	aac(6')	NF012165.0	280.00	280.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')-sk	aac(6')_Strep	aac(6')-kana	-	0.00	0.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')_Acine	aac(6')-I	aac(6')-I	NF000224.3	225.00	225.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
aac(6')_Entco	aac(6')	aac(6')	NF000165.3	300.00	300.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')_Ia_fam	aac(6')	aac(6')	NF033078.2	265.00	265.00	1	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase
aac(6')_Serra	aac(6')	aac(6')	NF000021.4	310.00	310.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')_Steno	aac(6')	aac(6')	NF033075.0	290.00	290.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')_Strep	aac(6')	aac(6')	NF000225.3	250.00	250.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')_Yersi	aac(6')	aac(6')	NF033076.0	290.00	290.00	1	aminoglycoside 6'-N-acetyltransferase
aac(6')	aac	aac(6')	-	0.00	0.00	1	aminoglycoside 6'-N-acetyltransferase
aacA-ACI1	aac(6')_Acine	aac(6')-I	-	0.00	0.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
aacA-ACI2	aac(6')_Acine	aac(6')-I	-	0.00	0.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
aacA-ACI3	aac(6')_Acine	aac(6')-I	-	0.00	0.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
aacA-ACI4	aac(6')_Acine	aac(6')-I	-	0.00	0.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
aacA-ACI5	aac(6')_Acine	aac(6')-I	-	0.00	0.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
aacA-ACI6	aac(6')_Acine	aac(6')-I	-	0.00	0.00	1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
